address, lat, lng
Halo Katra (#restaurant), 46.05127, 14.50307
Al Capone (#restaurant), 46.06654, 14.54284
Running Sushi & Wok (#restaurant), 46.021839, 14.53591
Stara Macka (#restaurant), 46.049591, 14.50586
Pizza Marija (#restaurant), 46.06052, 14.50686
HALO PINKI d.o.o. (#restaurant), 46.05793, 14.52863
Kitajski Dvor (#restaurant), 46.06213, 14.50748
Spica Caffe (#restaurant), 46.040844, 14.511699
McDonald's (#restaurant), 46.052059, 14.5047
Galerija Grad (#restaurant), 46.04715, 14.48031
Ribarnica Valentin (#restaurant), 46.050571, 14.50919
Terminal Lounge Bar & Club (#restaurant), 46.057957, 14.510829
Sempre (#restaurant), 46.081291, 14.46923
Gostilna in pizzerija Zajcja dobrava (#restaurant), 46.060459, 14.58668
Bar Kapo Gor (#restaurant), 46.056503, 14.502636
Wild West Saloon (#restaurant), 46.042889, 14.48085
Urbani Piknik (#restaurant), 46.063709, 14.49015
Spanska Vas (#restaurant), 46.063354, 14.5449
Gostilna in taverna Stern (#restaurant), 46.097542, 14.51906
Biljardnica Kaval (#restaurant), 46.108292, 14.46161
Hotel Rakov Skocjan (#restaurant), 46.036961, 14.52231
Lars&Sven burgers Ljubljana city (#restaurant), 46.050705, 14.50271
Trubar (#restaurant), 46.052391, 14.512362
Dvorni Bar (#restaurant), 46.049286, 14.50509
Marley & Me (#restaurant), 46.04808, 14.50625
Spajza (#restaurant), 46.045811, 14.508797
Pizzeria FoculuS (#restaurant), 46.047909, 14.502225
Gostilna Na gradu (#restaurant), 46.04871, 14.508592
Vodnikov Hram (#restaurant), 46.05069, 14.509837
Sushimama (#restaurant), 46.050728, 14.5052
Gostilna Cad (#restaurant), 46.055279, 14.481988
Gostilna As (#restaurant), 46.051464, 14.504783
Fany & Mary (#restaurant), 46.051785, 14.508496
Verace (#restaurant), 46.047112, 14.514503
Nobel burek (#restaurant), 46.056149, 14.507813
Pivnica Union (#restaurant), 46.059662, 14.49854
Vineria Del Ponte (#restaurant), 46.04829, 14.5061
Slovenska Hisa (#restaurant), 46.049824, 14.505622
Sarajevo '84 (#restaurant), 46.052914, 14.503803
Azur - tratorija s picami (#restaurant), 46.045055, 14.473688
AS Aperitivo (#restaurant), 46.051373, 14.504721
Loving Hut Ljubljana Center (#restaurant), 46.057613, 14.508806
Lars&Sven Burgers (#restaurant), 46.020023, 14.536389
Rio Momo (#restaurant), 46.051151, 14.502918
Vander Restaurant (#restaurant), 46.049557, 14.505823
Gostilnica 5-6 Kg (#restaurant), 46.045757, 14.508951
Atelje (#restaurant), 46.052429, 14.505699
Shambala (#restaurant), 46.046329, 14.504428
Libanonske meze in drugi uzitki (#restaurant), 46.052486, 14.511489
Bistro Zvezda (#restaurant), 46.050251, 14.504469
Skuhna (#restaurant), 46.052326, 14.512671
Wine bar Suklje (#restaurant), 46.047371, 14.505277
Gostilna Kovac (#restaurant), 46.081631, 14.534734
Taj Mahal restaurant (#restaurant), 46.050411, 14.514301
Namaste Indian Restaurant (#restaurant), 46.047169, 14.505367
Gostilna Sestica (#restaurant), 46.053284, 14.504043
Restavracija Valentin (#restaurant), 46.050789, 14.509174
Zaziv Vegan Bistro (#restaurant), 46.047691, 14.49785
Kolibri Cocktail Bar (#restaurant), 46.048641, 14.504444
Mediterraneo (#restaurant), 46.050426, 14.507676
Paninoteka Restaurant (#restaurant), 46.048458, 14.505194
Cafe Romeo (#restaurant), 46.048038, 14.505823
Gujzina (#restaurant), 46.049259, 14.506438
Cantina Restaurantes Mexicana (#restaurant), 46.051365, 14.504885
DA BU DA Asian Fusion and Bar (#restaurant), 46.050903, 14.501731
Dezela Okusov (#restaurant), 46.043221, 14.504222
Slon 1552 (#restaurant), 46.052658, 14.504371
JB (#restaurant), 46.057281, 14.508347
Cutty Sark Pub (#restaurant), 46.051365, 14.504791
Gostilna Kaval (#restaurant), 46.108086, 14.46121
Dinner in the Sky (#restaurant), 46.04977, 14.50389
Katrca Hisa piva in kulinarike (#restaurant), 46.050751, 14.485447
Restavracija Osterija Pr'Noni (#restaurant), 46.034473, 14.462591
Pizzeria Osmica (#restaurant), 46.052677, 14.504681
Peti 181 (#restaurant), 46.049168, 14.505
Gostilna Pri Zabarju (#restaurant), 46.04224, 14.46869
Gostilna Jakob Franc (#restaurant), 46.042732, 14.505997
Vino & Ribe (#restaurant), 46.047222, 14.506439
Organic Garden (#restaurant), 46.050636, 14.508365
Lockal (#restaurant), 46.051998, 14.508756
Italijanska Restavracija Mirje (#restaurant), 46.04678, 14.49393
Mala Terasa (#restaurant), 46.053612, 14.504407
Maru Japonska Restavracija Ljubljana (#restaurant), 46.071308, 14.4778
Gostilna Sokol Ljubljana (#restaurant), 46.050289, 14.507371
Zhong Hua Restaurant (#restaurant), 46.05225, 14.512306
Zlata Ribica (#restaurant), 46.050171, 14.505883
Argentino (#restaurant), 46.061977, 14.545586
Aroma Restaurant & Pizzeria (#restaurant), 46.050255, 14.50597
Gostilna Pr Kopac (#restaurant), 46.024128, 14.415865
Maharaja (#restaurant), 46.065704, 14.490673
Barbarella Arkade Bistro (Vegan and Vegeterian) (#restaurant), 46.051422, 14.50836
Tokyo Piknik (#restaurant), 46.049252, 14.505613
OnThai (#restaurant), 46.048103, 14.501695
Ajdovo Zrno (#restaurant), 46.051998, 14.50726
Picerija Garaza (#restaurant), 46.03426, 14.52635
Street Food Valentin (#restaurant), 46.050732, 14.509124
Zlata Ladjica (#restaurant), 46.04837, 14.50544
Bazilika Bistro (#restaurant), 46.049816, 14.4975
Restavracija Neboticnik (#restaurant), 46.053242, 14.503622
Skriti Kot (#restaurant), 46.053463, 14.504775
Hood Burger Center (#restaurant), 46.052448, 14.505625
Burek Olimpija (#restaurant), 46.056744, 14.506021
Soba 102 (#restaurant), 46.052544, 14.502975
Rodizio do Brasil (#restaurant), 46.047928, 14.496871
Tandoori (#restaurant), 46.052151, 14.51313
Mexico Mediterra Place (#restaurant), 46.069092, 14.489716
Gostilna Pri kolovratu (#restaurant), 46.050449, 14.508066
Back Werk (#restaurant), 46.051548, 14.505706
Restavracija Harfa (#restaurant), 46.033726, 14.48252
Gostilnica in pivnica SISKA (#restaurant), 46.066578, 14.492831
Joe Pena's Cantina y Bar (#restaurant), 46.052628, 14.502633
Sato Bento (#restaurant), 46.054054, 14.512528
Saraj Restavracija (#restaurant), 46.05521, 14.519494
Restavracija Pen Klub (#restaurant), 46.05265, 14.4992
10 v pol (#restaurant), 46.048027, 14.544614
Pizzeria Ljubljanski Dvor (#restaurant), 46.049236, 14.504933
Allegria (#restaurant), 46.052837, 14.504737
Krtina D'Ampezzo (#restaurant), 46.0457, 14.49264
Altroke (#restaurant), 46.047173, 14.506469
Novi Shanghai (#restaurant), 46.050911, 14.51207
Moji struklji (#restaurant), 46.051155, 14.507551
Okrepcevalnica Ribca (#restaurant), 46.0513, 14.506725
Winners Lounge (#restaurant), 46.081833, 14.51331
Makalonca (#restaurant), 46.050247, 14.505625
Piazza Ristorante Pizzeria (#restaurant), 46.064526, 14.503269
The Wok (#restaurant), 46.051655, 14.505362
Gostilna in pizzerija Jurman (#restaurant), 46.056385, 14.556797
SARAJEVSKI GRILL PAVZA (#restaurant), 46.06654, 14.54284
Gostilna Pri Stricku (#restaurant), 46.06974, 14.53919
Taman Organic (#restaurant), 46.052608, 14.504862
Maxim (#restaurant), 46.050488, 14.501292
KUHINJA KRUSIC (#restaurant), 46.05986, 14.5277
Sax Pub (#restaurant), 46.043171, 14.50458
Kavarna Rog (#restaurant), 46.050926, 14.516497
Gostilna Pod Vrbo (#restaurant), 46.040878, 14.503475
Asian Bistro OSHA (#restaurant), 46.052536, 14.511078
Greeko (#restaurant), 46.052288, 14.512503
Gostilna Janezic (#restaurant), 46.095989, 14.59329
Boschtiz (#restaurant), 46.078903, 14.496201
Stara Pumpa (#restaurant), 46.095444, 14.468311
Loving Hut (#restaurant), 46.037319, 14.48194
Repete Jazz & Okrepcila (#restaurant), 46.046257, 14.508219
Gostilna Pri Vodniku (#restaurant), 46.06715, 14.486207
Hot Horse (#restaurant), 46.059978, 14.496444
DiVino Restavracija In Bar (#restaurant), 46.066837, 14.541828
Holidays' Pub (#restaurant), 46.052971, 14.50402
